ID,TARGET_LifeExpectancy,Country,Year,Company_Status,Company_Confidence,Company_device_confidence,Device_confidence,Device_returen,Test_Fail,PercentageExpenditure,Engine_Cooling,Gas_Pressure,Obsolescence,ISO_23,TotalExpenditure,STRD_DTP,Engine_failure,GDP,Product_Quantity,Engine_failure_Prevalence,Leakage_Prevalence,IncomeCompositionOfResources,RD
451,80.3,127,2015,1,54,52,56,0,9.04,212.0859259,0,59.2,0,99,7.46,99,0.1,3133.72,1143896,0.9,1,0.85,3.714835124
452,76.8,127,2014,1,56,54,58,0,10.55,2159.756205,1,58.7,0,99,7.44,99,0.1,32425.29,113562,0.9,1,0.85,3.714835124
453,82.5,127,2013,1,57,58,56,0,10.69,2443.325028,0,58.3,0,99,7.54,99,0.1,36101.9,1124835,0.9,1,0.847,3.714835124
454,82.2,127,2012,1,59,60,58,0,11.32,283.3300258,18,57.8,0,99,7.23,99,0.1,4276.68,111267,0.9,1,0.853,3.820994635
455,78.9,127,2011,1,6,6,6,0,10.8,230.2524184,0,57.3,0,99,7.4,99,0.1,3601.71,19876,0.9,1,0.849,3.754996671
456,77,127,2010,1,62,62,62,0,12.01,239.6409938,1,56.8,0,97,6.89,97,0.1,3964.52,181563,0.9,1,0.844,3.701351105
457,76,127,2009,1,63,62,64,0,11.56,1958.525877,0,56.3,0,97,6.5,97,0.1,35153.03,163712,0.9,1,0.836,3.674234614
458,76.7,127,2008,1,64,60,68,0,11.47,1700.841534,0,55.8,0,97,6.28,97,0.1,30430.39,14559,0.9,1,0.829,3.660601044
459,77.5,127,2007,1,65,58,72,0,11.41,1562.520827,1,55.3,0,98,6.37,98,0.1,28363.43,127658,0.9,1,0.826,3.674234614
460,74.5,127,2006,1,65,64,66,0,13.03,1586.724172,0,54.8,0,98,6.42,98,0.1,26804.39,1141,0.9,1,0.823,3.660601044
461,79.5,127,2005,1,66,66,66,0,10.62,158.7087399,0,54.3,0,98,6.83,98,0.1,2568.7,993563,0.9,1,0.815,3.605551275
462,77.9,127,2004,1,68,62,74,0,11.68,1128.050886,0,53.8,0,98,6.12,98,0.1,18336.97,976966,0.9,1,0.805,3.535533906
463,78.6,127,2003,1,69,64,74,0,10.16,100.8086193,0,53.3,0,97,5.78,97,0.1,1750.48,96282,0.9,1,0.8,3.521363372
464,80.1,127,2002,1,7,6,8,0,9.56,950.8027925,0,52.8,0,97,5.77,97,0.1,16433.63,943286,0.9,1,0.798,3.535533906
465,75.2,33,2017,1,86,88,84,0,13.19,0,9,66.1,0,97,6.93,97,0.1,413.73,127445,1.8,1.8,0.463,3.065941943
466,77.8,33,2016,1,88,90,86,0,12.68,0,222,65.6,0,99,7.41,97,0.1,413.73,127445,1.8,1.9,0.463,3.065941943
467,74.7,33,2015,1,9,8,10,0,12.45,0,15,65.1,0,99,7.49,98,0.1,413.73,127445,1.8,1.9,0.463,3.065941943
468,79.6,33,2014,1,93,88,98,0,12.71,0,22,64.5,0,99,7.55,99,0.1,413.73,127445,1.8,1.9,0.463,3.065941943
469,79.2,33,2013,1,97,92,102,0,12.43,0,17,64,0,99,7.5,99,0.1,413.73,127445,1.9,1.9,0.463,3.065941943
470,74.7,33,2012,1,99,90,108,0,12.69,0,0,63.6,0,99,7.43,99,0.1,413.73,127445,1.9,2,0.463,3.065941943
471,74.7,33,2011,1,12,12,12,0,13.23,0,5,63.1,0,99,7.85,99,0.1,413.73,127445,1.9,2,0.463,3.065941943
472,75.8,33,2010,1,16,14,18,0,13.25,0,2,62.6,0,99,6.82,99,0.1,413.73,127445,1.9,2,0.463,3.065941943
473,78.4,33,2009,1,17,18,16,0,13.43,0,2,62.2,0,99,6.52,99,0.1,413.73,127445,2,2.1,0.463,3.065941943
474,75.8,33,2008,1,19,18,20,0,13.03,0,7,61.8,0,98,6.69,98,0.1,413.73,127445,2,2.1,0.463,3.065941943
475,74.5,33,2007,1,114,110,118,0,13.19,0,0,61.3,0,96,6.93,97,0.1,413.73,127445,2.1,2.1,0.463,3.065941943
476,71.1,33,2006,1,116,118,114,0,13.24,0,17,6.8,0,96,6.9,98,0.1,413.73,127445,2.1,2.2,0.463,3.065941943
477,76,33,2005,1,122,118,126,0,13.01,0,30,6.4,0,97,7.13,97,0.1,413.73,127445,2.2,2.2,0.463,3.065941943
478,73.2,33,2004,1,12,10,14,0,13.47,0,4,59.9,0,97,6.8,98,0.1,413.73,127445,2.2,2.3,0.463,3.065941943
479,78.4,33,2003,1,123,118,128,0,13.36,0,6,59.4,0,97,6.42,98,0.1,413.73,127445,2.2,2.3,0.463,3.065941943
480,77.3,33,2002,1,126,128,124,0,13.22,0,9,59,0,98,6.31,98,0.1,413.73,127445,2.3,2.3,0.463,3.065941943
481,77.8,51,2017,0,139,146,132,6,3.16,0,0,32.9,7,99,3.82,96,0.1,413.73,127445,4.9,4.9,0.463,3.065941943
482,73.7,51,2016,0,142,138,146,6,0.01,0,3,32.4,8,99,3.82,93,0.1,413.73,127445,4.9,4.9,0.463,3.065941943
483,74.6,51,2015,0,146,134,158,6,3.35,0,0,31.8,8,99,3.82,93,0.1,413.73,127445,5,5,0.463,3.065941943
484,71.6,51,2014,0,149,146,152,7,3.61,0,0,31.3,9,99,3.82,96,0.1,413.73,127445,5.1,5.1,0.463,3.065941943
485,70,51,2013,0,153,156,150,8,3.39,0,0,3.8,10,99,3.82,94,0.1,413.73,127445,5.1,5.2,0.463,3.065941943
486,72.9,51,2012,0,157,158,156,8,3.12,0,0,3.3,10,99,3.82,93,0.1,413.73,127445,5.2,5.2,0.463,3.065941943
487,68.3,51,2011,0,161,162,160,9,3.35,0,0,29.7,11,98,3.82,93,0.1,413.73,127445,5.3,5.3,0.463,3.065941943
488,69.3,51,2010,0,164,168,160,9,3.16,0,8,29.2,12,98,3.82,92,0.1,413.73,127445,5.4,5.4,0.463,3.065941943
489,71.7,51,2009,0,166,164,168,9,3.13,0,3550,28.7,12,99,3.82,92,0.1,413.73,127445,5.5,5.5,0.463,3.065941943
490,69.4,51,2008,0,165,162,168,10,3.28,0,0,28.2,12,98,3.82,89,0.1,413.73,127445,5.6,5.6,0.463,3.065941943
491,64.8,51,2007,0,165,166,164,10,3.21,0,0,27.7,13,97,3.82,79,0.1,413.73,127445,5.7,5.7,0.463,3.065941943
492,69.9,51,2006,0,165,168,162,11,3.13,0,0,27.2,14,99,3.82,72,0.1,413.73,127445,5.7,5.7,0.463,3.065941943
493,66.6,51,2005,0,165,162,168,12,3.13,0,0,26.7,15,99,3.82,68,0.1,413.73,127445,5.8,5.8,0.463,3.065941943
494,70.3,51,2004,0,167,156,178,14,3.08,0,0,26.2,18,99,3.82,64,0.1,413.73,127445,5.9,5.9,0.463,3.065941943
495,64.3,51,2003,0,177,180,174,16,2.53,0,0,25.7,21,98,3.82,62,0.1,413.73,127445,5.9,6,0.463,3.065941943
496,65.2,51,2002,0,192,196,188,18,3.52,0,0,25.2,25,93,3.82,56,0.1,413.73,127445,6,6,0.463,3.065941943
497,85.9,66,2017,1,71,70,72,0,10.99,0,9,58.8,0,93,9.51,93,0.1,5952.4,5683483,1.1,0.9,0.923,4.38178046
498,83.2,66,2016,1,73,72,74,0,9.64,10468.76292,27,58.4,0,94,1.8,94,0.1,69916.6,5643475,1.1,0.9,0.926,4.38178046
499,80.7,66,2015,1,75,68,82,0,9.5,10261.763,17,58.1,0,94,11.25,94,0.1,68534.14,5614932,1.1,0.9,0.924,4.324349662
500,84.3,66,2014,1,76,74,78,0,9.26,928.4170785,2,57.7,0,94,1.98,94,0.1,6560.42,5591572,1.1,0.9,0.922,4.289522118
501,78.8,66,2013,1,79,78,80,0,10.47,10251.10872,84,57.4,0,91,1.87,91,0.1,69164.11,557572,1.1,0.9,0.91,4.110960958
502,79,66,2012,1,84,84,84,0,10.28,954.4865933,5,57,0,9,11.8,9,0.1,6542.38,5547683,1.1,0.9,0.906,4.098780306
503,76.9,66,2011,1,86,86,86,0,10.08,9765.616994,6,56.6,0,89,11.47,89,0.1,65142.89,552395,1.1,0.9,0.906,4.098780306
504,79.6,66,2010,1,88,86,90,0,10.7,10761.18209,14,56.3,0,88,1.18,88,0.1,72041.39,5493621,1.1,0.9,0.906,4.098780306
505,73,66,2009,1,93,88,98,0,10.99,9703.068121,2,55.9,0,87,9.99,87,0.1,65505.95,5461438,1.2,0.9,0.904,4.086563348
506,77.8,66,2008,1,93,90,96,0,11.02,850.9544783,27,55.4,0,93,9.92,93,0.1,5854.23,5437272,1.2,0.9,0.902,4.110960958
507,79,66,2007,1,92,88,96,0,11.28,7627.412444,2,55,0,93,9.77,93,0.1,54655.8,5419432,1.2,1,0.897,4.074309757
508,76.7,66,2006,1,98,92,104,0,11.27,6948.839868,0,54.4,0,95,9.67,95,0.1,52093.04,544523,1.2,1,0.893,4.062019202
509,73.9,66,2005,1,11,8,14,0,11.54,650.9813544,0,53.9,0,96,9.51,96,0.1,4993.83,539574,1.2,1,0.882,4.037325848
510,76.1,66,2004,1,14,12,16,0,11.34,4801.546125,32,53.3,0,98,9.33,98,0.1,37216.14,5375931,1.2,1,0.875,4.074309757
511,79.5,66,2003,1,12,10,14,0,11.56,530.4832336,11,52.8,0,97,9.1,97,0.1,4201.85,5358783,1.3,1,0.862,4.024922359
512,74.3,66,2002,1,12,10,14,0,11.69,508.7496912,14,52.2,0,97,8.7,97,0.1,4192.79,5339616,1.3,1,0.86,4.062019202
513,60.4,29,2015,0,63,62,64,0,0.01,11.41955507,0,58.4,0,96,5.58,96,0.1,809.49,127445,2.7,2.6,0.721,3.563705936
514,75.5,44,2017,0,152,154,150,6,6.05,0,0,58.9,7,87,4.34,85,0.3,7244.69,1528394,3.3,3.2,0.718,3.633180425
515,70.8,44,2016,0,154,142,166,6,5.92,1088.244952,0,57.9,7,9,4.38,91,0.3,7020.94,145844,3.3,3.2,0.712,3.633180425
516,72.7,44,2015,0,157,154,160,6,5.93,97.52211538,0,56.8,7,82,4.12,83,0.3,702.86,1281296,3.3,3.2,0.709,3.633180425
517,74.2,44,2014,0,174,172,176,6,5.93,857.1307037,0,55.8,7,85,4.26,85,0.4,6685.14,115495,3.3,3.2,0.706,3.619392214
518,72.5,44,2013,0,16,16,16,6,5.91,843.7876995,2,54.7,7,84,4.22,84,0.7,6450.8,12795,3.3,3.2,0.703,3.605551275
519,72.5,44,2012,0,166,176,156,6,6.02,664.5585242,0,53.6,8,85,4.6,88,0.9,6105.87,9897985,3.3,3.3,0.697,3.591656999
520,73.7,44,2011,0,157,154,160,6,6.05,587.8828228,0,52.6,8,85,4.41,82,1.2,5547,9767758,3.4,3.3,0.695,3.591656999
521,74.2,44,2010,0,161,170,152,6,6.12,49.09241952,0,51.5,8,86,4.2,82,1.4,572.74,963652,3.4,3.3,0.692,3.577708764
522,70.3,44,2009,0,164,174,154,6,6.05,74.8217488,0,5.4,8,86,4.34,85,1.6,5204.99,954353,3.4,3.4,0.685,3.563705936
523,75.3,44,2008,0,178,176,180,7,6.2,352.9551269,0,49.3,8,88,4.34,89,1.8,4296.85,9371338,3.5,3.4,0.677,3.54964787
524,69.3,44,2007,0,28,26,30,7,5.71,289.7418649,0,48.2,8,86,4.26,87,2,4123.39,9237566,3.5,3.4,0.668,3.54964787
525,71.6,44,2006,0,214,214,214,7,5.16,182.6162515,0,47.2,8,66,4.28,79,2.1,2712.6,912998,3.6,3.5,0.666,3.535533906
526,69.5,44,2005,0,22,22,22,7,6.32,293.0196601,0,46.1,8,65,5.53,79,2.3,2657.34,896776,3.6,3.5,0.665,3.521363372
527,71.4,44,2004,0,189,180,198,7,6.43,4.67359227,0,45.1,8,74,5.79,82,2.4,43.08,8832285,3.7,3.6,0.66,3.507135583
528,71.4,44,2003,0,188,190,186,7,6.13,340.0239945,113,44.1,9,71,5.59,72,2.5,3205.61,8697126,3.8,3.6,0.656,3.507135583
529,71.3,44,2002,0,176,170,182,7,6.58,44.79247812,253,43.1,9,71,5.9,78,2.5,316.32,8562622,3.8,3.7,0.651,3.492849839
530,76.1,69,2017,0,118,122,114,6,3.82,0,0,54.2,7,84,5.9,78,0.1,700.7,16144368,1.2,1.1,0.739,3.741657387
531,78.7,69,2016,0,121,112,130,6,3.82,79.11626341,0,53.5,7,84,9.16,83,0.1,7204.08,1593112,1.2,1.1,0.737,3.741657387
532,76.4,69,2015,0,121,120,122,6,3.77,59.12850204,0,52.8,8,87,7.29,87,0.1,755.98,15661547,1.3,1.1,0.725,3.660601044
533,79.2,69,2014,0,127,124,130,7,3.92,41.88087712,72,52.1,8,85,6.48,87,0.1,640.8,15419666,1.3,1.2,0.717,3.646916506
534,77.4,69,2013,0,131,126,136,7,3.99,344.7412164,257,51.4,8,85,5.92,88,0.1,5850.15,15177355,1.3,1.2,0.71,3.633180425
535,78.3,69,2012,0,134,132,136,7,3.95,367.9285652,0,5.7,8,88,5.9,91,0.1,5216.2,1493469,1.3,1.2,0.703,3.619392214
536,82.3,69,2011,0,137,138,136,7,3.87,282.1440066,0,5,8,91,5.58,94,0.1,4766.23,14691275,1.3,1.2,0.702,3.619392214
537,74,69,2010,0,139,126,152,7,3.76,197.9303077,1,49.3,9,94,5.66,96,0.1,4787.95,14447562,1.3,1.2,0.698,3.605551275
538,75.8,69,2009,0,14,14,14,7,3.63,19.60467787,0,48.6,9,95,5.94,96,0.2,402.89,1425453,1.4,1.3,0.696,3.591656999
539,73.7,69,2008,0,144,142,146,8,3.52,19.13983284,0,47.9,9,92,5.86,96,0.3,376.08,1396748,1.4,1.3,0.693,3.577708764
540,73.1,69,2007,0,151,150,152,8,3.54,18.09317114,0,47.2,9,89,5.87,92,0.3,360.58,13735233,1.4,1.3,0.688,3.577708764
541,71.5,69,2006,0,148,154,142,8,3.65,16.37920405,0,46.5,9,9,6.22,88,0.3,311.98,1359647,1.5,1.3,0.682,3.563705936
542,77.8,69,2005,0,151,144,158,8,3.69,18.26183281,0,45.8,10,97,6.46,87,0.3,273.81,1328961,1.5,1.4,0.679,3.54964787
543,72.5,69,2004,0,157,156,158,8,3.88,187.3843511,0,45.1,10,88,4.62,88,0.3,2446.04,13726,1.5,1.4,0.675,3.535533906
544,71.5,69,2003,0,158,160,156,9,4.13,14.5887403,2,44.3,10,9,3.86,89,0.3,216.99,12852755,1.6,1.5,0.67,3.521363372
545,72.3,69,2002,0,163,154,172,9,3.99,84.17527008,0,43.6,11,83,3.38,87,0.3,1625.45,12628596,1.6,1.5,0.668,3.521363372
546,79.7,98,2017,0,159,154,164,51,0.21,0,5432,61.1,60,93,5.4,93,0.1,413.73,127445,2.8,2.8,0.688,3.619392214
547,78.2,98,2016,0,161,162,160,53,0.21,0,1314,6.2,62,94,5.64,94,0.1,413.73,127445,2.8,2.8,0.686,3.619392214
548,79.4,98,2015,0,159,154,164,54,0.21,0,405,59.4,63,97,5.46,97,0.1,413.73,127445,2.9,2.8,0.681,3.577708764
549,72.7,98,2014,0,165,156,174,54,0.23,0,245,58.6,64,93,5.29,93,0.1,413.73,127445,2.9,2.8,0.673,3.521363372
550,74.6,98,2013,0,168,168,168,55,0.22,0,26,57.8,64,96,5.4,96,0.1,413.73,127445,2.9,2.9,0.671,3.521363372
551,70.4,98,2012,0,173,174,172,54,0.22,0,16,57,64,97,4.8,97,0.1,413.73,127445,3,2.9,0.665,3.492849839
552,68.4,98,2011,0,174,184,164,54,0.21,0,608,56.2,64,97,5.1,97,0.1,413.73,127445,3,3,0.659,3.464101615
553,69,98,2010,0,172,168,176,54,0.24,0,668,55.5,65,97,4.82,97,0.1,413.73,127445,3.1,3,0.651,3.449637662
554,67.6,98,2009,0,171,174,168,55,0.21,0,1684,54.8,65,98,4.95,98,0.1,413.73,127445,3.1,3.1,0.644,3.420526275
555,69.7,98,2008,0,175,170,180,55,0.18,0,953,54.2,66,98,5.24,98,0.1,413.73,127445,3.2,3.1,0.636,3.391164992
556,67.5,98,2007,0,174,184,164,56,0.16,0,77,53.5,68,98,5.6,98,0.1,413.73,127445,3.2,3.2,0.629,3.376388603
557,67.9,98,2006,0,176,168,184,57,0.16,0,80,52.9,70,97,5.21,97,0.1,413.73,127445,3.3,3.2,0.623,3.346640106
558,67.6,98,2005,0,178,186,170,59,0.15,0,164,52.3,72,98,5.41,98,0.1,413.73,127445,3.3,3.3,0.621,3.361547263
559,67.4,98,2004,0,177,180,174,61,0.15,0,653,51.8,75,97,5.97,97,0.1,413.73,127445,3.4,3.4,0.617,3.346640106
560,63.6,98,2003,0,177,174,180,63,0.14,0,2150,51.2,78,99,5.75,99,0.1,413.73,127445,3.5,3.4,0.612,3.33166625
561,68.3,98,2002,0,171,164,178,65,0.14,0,2633,5.7,82,98,5.55,98,0.1,413.73,127445,3.6,3.5,0.606,3.31662479
562,73.6,14,2017,0,178,180,176,2,2.77,0,0,56.1,2,92,6.91,91,0.2,4622.37,6312478,1.6,1.5,0.678,3.633180425
563,72.7,14,2016,0,181,176,186,2,2.52,665.7260253,0,55.4,2,93,6.77,94,0.2,4467.42,6281189,1.6,1.6,0.676,3.633180425
564,75.1,14,2015,0,184,184,184,2,2.42,653.6925016,0,54.7,2,92,6.95,92,0.2,4363.14,625777,1.6,1.6,0.675,3.633180425
565,72.1,14,2014,0,181,180,182,2,2.48,591.7757569,0,54.1,2,93,6.7,92,0.3,4287.12,6221246,1.6,1.6,0.67,3.633180425
566,70,14,2013,0,197,192,202,2,2.37,549.2783081,0,53.4,2,9,6.81,89,0.3,4184.98,619256,1.7,1.6,0.666,3.605551275
567,73.3,14,2012,0,191,186,196,2,2.36,469.3904193,0,52.8,2,89,6.91,89,0.3,3891.32,6164626,1.7,1.6,0.662,3.591656999
568,70.3,14,2011,0,23,22,24,2,2.55,416.4338399,0,52.1,2,91,6.83,91,0.3,3770.46,6137276,1.7,1.6,0.662,3.577708764
569,71.6,14,2010,0,194,206,182,2,2.68,53.95949877,0,51.4,3,98,6.21,98,0.3,400.23,61131,1.8,1.7,0.659,3.660601044
570,70.6,14,2009,0,23,22,24,2,2.83,52.30172215,0,5.8,3,99,6.32,99,0.3,375.02,683475,1.8,1.7,0.657,3.591656999
571,74.8,14,2008,0,211,210,212,3,2.77,57.74562629,0,5.1,3,96,6.68,96,0.2,406.51,656478,1.8,1.7,0.651,3.591656999
572,70.2,14,2007,0,213,222,204,3,2.77,440.6027042,0,49.4,3,89,7.19,89,0.2,3175.51,628961,1.9,1.8,0.644,3.563705936
573,69.8,14,2006,0,215,204,226,3,2.9,398.6058322,0,48.6,3,9,7.3,9,0.3,2948.74,6775,1.9,1.8,0.636,3.521363372
574,69.1,14,2005,0,29,28,30,3,3.1,400.1342971,0,47.8,4,93,7.61,94,0.3,2822.11,5971535,2,1.9,0.628,3.464101615
575,77.3,14,2004,0,24,24,24,3,2.97,29.68529375,0,47,4,81,7.9,81,0.4,278.22,59433,2,1.9,0.621,3.435112807
576,64.8,14,2003,0,219,214,224,4,2.88,332.1056586,2,46.2,4,94,8.2,92,0.4,2619.42,595962,2.1,2,0.615,3.405877273
577,70.7,14,2002,0,218,220,216,4,2.79,353.6690328,0,45.3,5,98,8.17,99,0.4,2507.02,5867626,2.1,2,0.607,3.361547263
578,55.5,5,2017,0,32,32,32,3,7.19,0,1250,24.5,4,17,2.5,16,4.2,1508.99,1175389,8.4,8.3,0.582,3.033150178
579,59.1,5,2016,0,32,34,30,3,0.01,13.40477417,13,24,4,24,3.8,2,4.4,215.71,1129424,8.5,8.4,0.582,3.033150178
580,56.4,5,2015,0,327,324,330,3,10.72,156.3907685,321,23.5,4,3,3.73,3,5.7,2516.63,183746,8.6,8.6,0.586,3.033150178
581,54,5,2014,0,337,340,334,3,11.89,1500.412635,1190,23,4,3,4,24,8.2,24144.57,138593,8.7,8.7,0.583,3.033150178
582,58.2,5,2013,0,344,346,342,3,10.99,1493.051277,0,22.6,4,39,3.29,41,7.7,24026.11,99429,8.9,8.8,0.58,3.033150178
583,49.9,5,2012,0,339,334,344,3,9.93,1192.696619,0,22.1,4,59,3.84,44,7.2,19192.82,95114,9,9,0.589,3.033150178
584,55.9,5,2011,0,34,34,34,3,7.97,115.0692415,78,21.7,4,57,5.32,43,7.3,1851.69,99111,9.2,9.2,0.59,3.016620626
585,57.1,5,2010,0,338,346,330,3,8.34,1705.678619,436,21.3,4,55,2.31,42,6.3,25471.47,868418,9.3,9.3,0.592,3.016620626
586,57.2,5,2009,0,339,354,324,3,6.86,1024.519543,5,2.9,4,54,2.25,41,5.9,17653.26,829327,9.5,9.5,0.587,3
587,55.1,5,2008,0,337,332,342,3,7.28,827.5979335,0,2.5,4,52,2.13,4,5.3,14260.15,792217,9.7,9.6,0.569,3
588,57.4,5,2007,0,337,356,318,3,7.19,12.0661671,0,2.2,4,5,1.63,39,4.9,207.91,757317,9.8,9.8,0.563,2.949576241
589,55.3,5,2006,0,336,326,346,3,6.28,44.54768305,38,19.8,4,48,2.4,38,4.4,767.59,724817,1,1,0.553,2.915475947
590,52.6,5,2005,0,334,336,332,3,7.13,309.7834587,18,19.5,4,46,2.23,37,3.6,4006.44,694611,1.2,1.1,0.554,2.898275349
591,48.9,5,2004,0,334,324,344,3,6.01,234.7874207,24,19.1,4,44,2.5,36,2.9,3036.51,66647,1.4,1.3,0.542,2.863564213
592,53.3,5,2003,0,334,344,324,3,5.07,197.7839552,1339,18.7,4,43,1.78,35,2.3,2557.94,639762,1.6,1.4,0.527,2.828427125
593,52.6,5,2002,0,336,360,312,3,4.46,14.95451321,0,18.3,4,41,2.73,34,1.9,193.41,614323,1.7,1.6,0,0
594,64.3,164,2017,0,255,250,260,5,0.62,0,198,18.6,7,95,3.3,95,0.4,315.94,1981886,8.4,8.2,0.418,2.236067977
595,66.4,164,2016,0,261,262,260,5,0.01,0,127,18,8,94,3.34,94,0.4,315.94,1981886,8.5,8.3,0.416,2.236067977
596,62.9,164,2015,0,266,274,258,6,0.01,0,45,17.5,8,94,3.1,94,0.5,315.94,1981886,8.6,8.4,0.414,2.236067977
597,64.6,164,2014,0,274,266,282,6,0.01,0,194,17,8,94,2.98,94,0.6,315.94,1981886,8.7,8.6,0.41,2.236067977
598,62.2,164,2013,0,286,296,276,6,0.62,20.97991915,48,16.5,8,96,3.6,96,0.7,652.71,447469,8.8,8.7,0.405,2.236067977
599,62.4,164,2012,0,298,292,304,6,0.61,17.35739784,51,16,9,9,3.24,9,0.9,540.01,43984,8.9,8.8,0.404,2.258317958
600,60.9,164,2011,0,311,320,302,6,0.63,1.575160196,82,15.5,9,92,3.3,92,1,49,431334,9,8.9,0.402,2.28035085
601,68,164,2010,0,322,312,332,6,0.49,11.76572311,0,15.1,9,94,3.69,94,1.1,366.04,4232636,9.1,9.1,0.406,2.28035085
602,58.2,164,2009,0,329,314,344,6,1.23,11.42385961,55,14.7,9,91,3.29,91,1.3,355.41,4153332,9.2,9.2,0.405,2.302172887
603,57.4,164,2008,0,336,348,324,7,0.97,10.60269773,128,14.3,9,94,3.3,94,1.4,333.57,466648,9.3,9.3,0.405,2.302172887
604,61.2,164,2007,0,34,32,36,7,1.07,5.064688968,19,13.9,9,96,2.97,96,1.6,309.97,39697,9.4,9.5,0,2.323790008
605,59.1,164,2006,0,342,358,326,7,0.64,10.26097341,24,13.6,10,98,3.14,98,1.8,321.91,3858623,9.6,9.6,0,2.236067977
606,59.6,164,2005,0,343,322,364,7,0.56,6.913998013,376,13.3,10,95,3.5,93,1.9,260.73,3738265,9.7,9.7,0,2.167948339
607,57.3,164,2004,0,343,340,346,7,0.83,0.703132179,460,13.1,10,92,4.2,9,1.9,24.38,3614639,9.9,9.9,0,2.097617696
608,55.2,164,2003,0,345,330,360,7,0.61,5.593619538,204,12.8,10,89,3.95,86,2,240.96,3497124,1,1,0,2.073644135
609,45.5,164,2002,0,593,610,576,7,0.83,0.735940361,789,12.6,10,82,4.43,81,1.9,31.58,339281,1.2,1.1,0,1.974841766
610,80.6,57,2017,0,119,122,116,0,11.64,0,4,59.9,0,93,5.28,93,0.1,1987.92,131547,1.9,1.9,0.863,4.062019202
611,74.3,57,2016,0,122,116,128,0,0.01,2700.07305,0,59.4,0,93,6.38,93,0.1,22334.43,1314545,1.9,1.9,0.86,4.062019202
612,78.6,57,2015,0,127,118,136,0,0.01,261.2914808,2,59,0,94,6.48,94,0.1,2161.35,1317997,1.9,1.9,0.856,4.062019202
613,75.7,57,2014,0,135,138,132,0,0.01,2263.103797,4,58.5,0,94,6.36,94,0.1,19512.52,1322696,1.9,1.9,0.85,4.062019202
614,76.1,57,2013,0,138,144,132,0,0.01,2146.945741,7,58,0,93,5.83,93,0.1,19549.42,1327439,1.9,2,0.838,4.049691346
615,78.2,57,2012,0,137,132,142,0,14.97,1802.017593,0,57.6,0,94,6.25,94,0.1,16395.29,1331475,1.9,2,0.833,4.024922359
616,78.2,57,2011,0,156,156,156,0,15.04,1717.088711,0,57.1,0,95,6.93,95,0.1,16493.48,1334515,2,2,0.836,4.01248053
617,73.5,57,2010,0,167,166,168,0,16.99,225.0723618,0,56.7,0,95,6.6,95,0.1,2121.89,13379,2,2.1,0.835,4.01248053
618,72.4,57,2009,0,189,190,188,0,17.87,1904.12469,1,56.3,0,95,5.16,95,0.1,18576.83,13468,2,2.1,0.829,4.01248053
619,75.3,57,2008,0,188,174,202,0,16.58,244.3510801,27,55.9,0,95,5.1,95,0.1,14106.87,134681,2.1,2.2,0.822,4.01248053
620,73.2,57,2007,0,189,196,182,0,15.52,153.5045263,2,55.5,0,96,5.2,96,0.1,1498.91,1354775,2.1,2.2,0.812,3.987480407
621,75.1,57,2006,0,195,192,198,0,15.07,101.1201161,0,55.2,0,95,5.13,94,0.1,991.72,136255,2.2,2.3,0.805,3.962322551
622,73.3,57,2005,0,199,194,204,0,11.64,132.7233922,0,54.9,0,95,4.92,94,0.1,8035.15,13772,2.2,2.3,0.798,3.949683532
623,70.3,57,2004,0,211,214,208,0,11.48,7.806042825,0,54.6,0,94,4.84,94,0.1,602.95,137935,2.3,2.4,0.791,3.924283374
624,77.6,57,2003,0,225,220,230,0,0.01,88.62945822,0,54.3,0,94,4.85,94,0.1,5038.83,1388115,2.4,2.5,0.781,3.872983346
625,78.4,57,2002,0,218,216,220,0,0.01,5.34809451,9,54,0,93,5.28,93,0.1,53.01,1396985,2.5,2.5,0.764,3.794733192
626,64.8,109,2017,0,225,234,216,136,1.06,0,17745,17.6,194,75,4.64,77,0.6,722.92,9987333,1.4,1.2,0.441,2.898275349
627,65.5,109,2016,0,234,226,242,140,0.01,89.95805845,12739,17.2,202,75,4.88,77,0.6,639.7,97366774,1.5,1.3,0.435,2.898275349
628,59.3,109,2015,0,237,232,242,145,1.86,8.313282039,5253,16.8,211,7,5.19,72,0.9,58.41,94887724,1.6,1.4,0.427,2.898275349
629,60,109,2014,0,241,216,266,150,1.84,86.82551124,4347,16.4,221,7,5.77,69,1.2,524.8,92444183,1.7,1.5,0.422,2.898275349
630,63.9,109,2013,0,249,244,254,156,1.32,67.77565369,3255,16,231,7,6.55,65,1.4,397.43,946756,1.9,1.6,0.411,2.863564213
631,63.5,109,2012,0,261,256,266,162,1.34,67.73374413,4235,15.6,243,69,6.86,61,1.7,382.37,877267,11,1.7,0.401,2.846049894
632,65.7,109,2011,0,274,260,288,169,1.17,53.77354001,1176,15.3,256,65,4.41,58,2,425.33,85416253,11.1,1.8,0.393,2.846049894
633,57.7,109,2010,0,289,284,294,177,1.13,38.55783268,3511,14.9,270,63,4.28,54,2.4,364.43,83184892,11.2,1.9,0.378,2.75680975
634,54.9,109,2009,0,39,38,40,186,1.06,30.46451811,1446,14.5,286,61,4.69,5,2.8,272.53,8149,11.3,11,0.362,2.664582519
635,58.9,109,2008,0,328,332,324,196,1.22,22.18952246,1451,14.2,304,59,4.47,46,3.3,217.05,7885689,11.4,11.1,0.346,2.569046516
